date,Voltage,Current,Charge_Capacity
01/27/2018 15:48:09.722,3.402872562,0,0
01/27/2018 15:50:09.722,3.403527737,0,0
01/27/2018 15:52:09.723,3.403919697,0,0
01/27/2018 15:54:09.722,3.404135227,0,0
01/27/2018 15:56:09.722,3.404351711,0,0
01/27/2018 15:58:09.722,3.404583454,0,0
01/27/2018 16:00:09.722,3.404784679,0,0
01/27/2018 16:02:09.723,3.404931545,0,0
01/27/2018 16:04:09.722,3.405127048,0,0
01/27/2018 16:06:09.722,3.405255795,0,0
01/27/2018 16:08:09.722,3.405434132,0,0
01/27/2018 16:10:09.722,3.405622959,0,0
01/27/2018 16:12:09.722,3.405842304,0,0
01/27/2018 16:14:09.723,3.405981541,0,0
01/27/2018 16:16:09.722,3.40617609,0,0
01/27/2018 16:18:09.723,3.406311512,0,0
01/27/2018 16:20:09.723,3.406486034,0,0
01/27/2018 16:22:09.722,3.406684399,0,0
01/27/2018 16:24:09.723,3.406848431,0,0
01/27/2018 16:26:09.723,3.407010555,0,0
01/27/2018 16:28:09.723,3.407161236,0,0
01/27/2018 16:30:09.722,3.407357693,0,0
01/27/2018 16:32:09.722,3.407514095,0,0
01/27/2018 16:34:09.722,3.407668591,0,0
01/27/2018 16:36:09.722,3.407860279,0,0
01/27/2018 16:38:09.723,3.408027172,0,0
01/27/2018 16:40:09.722,3.408183575,0,0
01/27/2018 16:42:09.723,3.408324718,0,0
01/27/2018 16:44:09.722,3.408518314,0,0
01/27/2018 16:46:09.723,3.408663273,0,0
01/27/2018 16:46:17.237,3.408685207,0.000429153,3.267E-07
01/27/2018 16:46:24.691,3.408670902,0.000189781,6.62424E-07
01/27/2018 16:48:24.735,3.408581257,0,6.63873E-07
01/27/2018 16:50:24.733,3.408513546,0,6.63873E-07
01/27/2018 16:51:24.737,3.408495426,0,6.63873E-07
01/27/2018 16:53:24.822,3.408528805,-7.6294E-06,7.11514E-07
01/27/2018 16:55:24.822,3.408648014,-3.43323E-05,7.61381E-07
01/27/2018 16:57:24.822,3.408806324,1.23978E-05,8.29492E-07
01/27/2018 16:59:24.821,3.408988476,-7.24792E-05,9.21485E-07
01/27/2018 17:01:24.821,3.409154415,-0.000120163,9.57565E-07
01/27/2018 17:03:24.821,3.409245968,-7.82013E-05,1.01949E-06
01/27/2018 17:05:24.821,3.409440517,-0.000198364,1.08953E-06
01/27/2018 17:07:24.821,3.409558773,1.62125E-05,1.1666E-06
01/27/2018 17:09:24.822,3.409746647,-0.000151634,1.20784E-06
01/27/2018 17:11:24.822,3.409876347,-3.8147E-05,1.23971E-06
01/27/2018 17:13:24.822,3.410003185,-1.62125E-05,1.28032E-06
01/27/2018 17:15:24.821,3.410178661,-0.000146866,1.33204E-06
01/27/2018 17:17:24.823,3.410344601,-0.000206947,1.37446E-06
01/27/2018 17:19:24.823,3.410542011,-9.15527E-05,1.43333E-06
01/27/2018 17:21:24.822,3.410774708,-0.00021553,1.49471E-06
01/27/2018 17:22:26.367,3.410899639,-0.000136375,1.54758E-06
01/29/2018 17:54:11.969,2.999967098,-2.282042503,2E-06
01/29/2018 17:56:12.015,3.33556509,0,2E-06
01/29/2018 17:58:12.015,3.338398457,0,2E-06
01/29/2018 17:59:12.017,3.339221478,0,2E-06
01/29/2018 17:59:12.027,3.339267254,0,0
01/29/2018 18:01:12.110,4.200278759,4.495822906,0.160358429
01/29/2018 18:03:12.111,4.200186253,4.119735718,0.303808123
01/29/2018 18:05:12.110,4.200099468,3.635438919,0.433007002
01/29/2018 18:07:09.016,4.200090885,3.259992599,0.544645786
01/29/2018 18:09:09.030,4.226625919,3.260190964,0.652910352
01/29/2018 18:11:09.030,4.249137402,3.260047913,0.761587083
01/29/2018 18:13:09.031,4.269281864,3.260124207,0.870240033
01/29/2018 18:15:09.030,4.289505482,3.260196686,0.978905499
01/29/2018 18:17:09.031,4.310624599,3.259815216,1.087572813
01/29/2018 18:19:09.030,4.332944393,3.260164261,1.196242094
01/29/2018 18:21:09.031,4.356299877,3.260164261,1.304918289
01/29/2018 18:23:09.031,4.380879879,3.260040283,1.413570762
01/29/2018 18:25:09.030,4.400122166,3.188215256,1.521941423
01/29/2018 18:27:09.030,4.400140285,2.96762085,1.624435544
01/29/2018 18:29:09.031,4.40013361,2.771959305,1.72004509
01/29/2018 18:31:09.030,4.400120258,2.59759903,1.809487939
01/29/2018 18:33:09.031,4.40005827,2.442552567,1.893435121
01/29/2018 18:35:09.030,4.399990559,2.303323746,1.972521424
01/29/2018 18:37:09.031,4.40011549,2.180356979,2.047190905
